subjectID,ACR,ACR-L,ACR-R,ALIC,ALIC-L,ALIC-R,AverageFA,BCC,CC,CGC,CGC-L,CGC-R,CGH,CGH-L,CGH-R,CR,CR-L,CR-R,CST,CST-L,CST-R,EC,EC-L,EC-R,FX,FX/ST-L,FX/ST-R,FXST,GCC,IC,IC-L,IC-R,IFO,IFO-L,IFO-R,PCR,PCR-L,PCR-R,PLIC,PLIC-L,PLIC-R,PTR,PTR-L,PTR-R,RLIC,RLIC-L,RLIC-R,SCC,SCR,SCR-L,SCR-R,SFO,SFO-L,SFO-R,SLF,SLF-L,SLF-R,SS,SS-L,SS-R,UNC,UNC-L,UNC-R
sub-FREAD001,0.00114377,0.0011186,0.00116909,0.00121719,0.00119963,0.00123315,0.00108229,0.0014508,0.00147903,0.00117967,0.00119194,0.00116654,0.00114639,0.00114858,0.00114419,0.0011657,0.00115029,0.00118058,0.00110968,0.00110752,0.00111199,0.00110149,0.00110939,0.00109362,0.00172283,0.00111857,0.00113909,0.00112758,0.00153416,0.0012574,0.00125951,0.0012554,0.00123002,0.00125699,0.00120755,0.00124338,0.00123528,0.0012506,0.00130325,0.00130983,0.00129674,0.00131642,0.00132187,0.00131114,0.00124358,0.00125761,0.00123036,0.00147404,0.0011502,0.00114454,0.00115565,0.00114585,0.00112379,0.00116723,0.00113709,0.00113699,0.00113718,0.00125735,0.00125515,0.00125955,0.00176956,0.00186514,0.00170368
sub-FREAD002,0.00116889,0.00116883,0.00116896,0.00117542,0.00118848,0.00116354,0.00109359,0.00146601,0.00145101,0.00120119,0.00123358,0.00116654,0.00115443,0.00114432,0.00116461,0.00120268,0.00119764,0.00120755,0.00106038,0.00106371,0.00105681,0.00112277,0.00112866,0.0011169,0.00187189,0.00109673,0.00106811,0.00108416,0.00139011,0.00123881,0.00124,0.00123768,0.00125092,0.00124621,0.00125484,0.0012421,0.0012278,0.00125484,0.00126916,0.00126217,0.00127608,0.00133071,0.00129794,0.00136247,0.00126679,0.00126407,0.00126936,0.00147873,0.00122034,0.00121583,0.00122468,0.00119187,0.00119172,0.00119201,0.00113249,0.00112323,0.00114156,0.00125132,0.00123195,0.00127075,0.00142484,0.00144845,0.00140857
sub-FREAD003,0.00109559,0.00109395,0.00109723,0.00118267,0.00119517,0.0011713,0.00111129,0.00141774,0.00146684,0.00123377,0.00125617,0.00120981,0.00117544,0.00117217,0.00117873,0.00113188,0.00113423,0.00112961,0.00115137,0.00114343,0.00115988,0.00107031,0.00107411,0.00106653,0.00176972,0.00115707,0.00113637,0.00114798,0.00145447,0.00128069,0.00129127,0.00127064,0.00105745,0.00106901,0.00104781,0.0012281,0.00121765,0.0012374,0.00130875,0.00131156,0.00130597,0.00139579,0.00142177,0.00137061,0.00134633,0.00136178,0.00133177,0.00154407,0.00112299,0.00113916,0.00110743,0.00108418,0.00110352,0.00106544,0.00114002,0.00115358,0.00112674,0.00130975,0.00130102,0.0013185,0.0015538,0.00153104,0.00156949
sub-FREAD004,0.00104834,0.00102968,0.0010671,0.00102931,0.000999873,0.00105606,0.000933275,0.00127026,0.00125917,0.00116132,0.00115896,0.00116384,0.000584603,0.000592737,0.000576407,0.00108596,0.00107652,0.00109507,0.000920808,0.000986928,0.000849995,0.00102391,0.00101489,0.00103289,0.000652361,0.000994672,0.000908402,0.000956791,0.00125644,0.00113792,0.00112838,0.00114697,0.0011916,0.00120529,0.00118019,0.00115449,0.00115949,0.00115004,0.00119799,0.00120585,0.00119021,0.00117591,0.00113699,0.00121364,0.00117627,0.00116144,0.00119026,0.00124611,0.00109288,0.00108923,0.00109639,0.00108947,0.00110485,0.00107456,0.00107078,0.00107038,0.00107118,0.00111763,0.00110675,0.00112854,0.00114647,0.00119181,0.00111523
sub-FREAD005,0.00111372,0.00109845,0.00112907,0.00121854,0.00122952,0.00120855,0.00106759,0.00147309,0.00143102,0.00122242,0.00128245,0.00115821,0.00109239,0.0010512,0.00113389,0.00109588,0.00108057,0.00111067,0.00118097,0.00120857,0.00115141,0.00109874,0.00111241,0.00108512,0.00161952,0.00112044,0.00111307,0.0011172,0.00133464,0.00121073,0.00122303,0.00119905,0.00123298,0.00129234,0.00118351,0.00116083,0.00109146,0.00122262,0.00121329,0.00121522,0.00121138,0.00143538,0.00140399,0.00146581,0.0011998,0.00122609,0.00117502,0.00144975,0.0010422,0.00105455,0.00103032,0.0010973,0.00112351,0.00107189,0.00109728,0.00109655,0.001098,0.0012355,0.00124681,0.00122416,0.0016149,0.00136487,0.00178721
sub-FREAD006,0.00103635,0.0010573,0.00101527,0.00100014,0.00102688,0.000975831,0.000896796,0.001228,0.00123521,0.00106436,0.00107779,0.00105,0.000689182,0.000625616,0.000753235,0.00105585,0.00107062,0.00104158,0.000915932,0.000921449,0.000910023,0.00085942,0.000919554,0.000799535,0.000714567,0.00092215,0.000652161,0.0008036,0.00125465,0.0010653,0.00110947,0.00102339,0.00101948,0.00104878,0.000995064,0.00111097,0.00110599,0.00111541,0.00113412,0.00116487,0.00110369,0.00118512,0.00117696,0.00119302,0.00104942,0.00112388,0.000979223,0.00122968,0.0010493,0.00106839,0.00103093,0.00111847,0.00115846,0.0010797,0.000973634,0.000988847,0.000958739,0.000982073,0.00104293,0.000921028,0.00136793,0.00141756,0.00133373
sub-FREAD007,0.00111997,0.00112354,0.00111637,0.00117511,0.00116805,0.00118152,0.00104866,0.00133194,0.00133605,0.00110912,0.00110019,0.00111867,0.000898268,0.000877699,0.000918994,0.0011576,0.00115573,0.0011594,0.000911963,0.000870277,0.000956608,0.00113008,0.00113394,0.00112623,0.000984365,0.00112663,0.00105999,0.00109737,0.00135364,0.00123095,0.00122574,0.00123589,0.00119091,0.00120793,0.00117673,0.00124176,0.00121071,0.00126942,0.00125912,0.00124609,0.00127202,0.00130082,0.00127044,0.00133026,0.00125388,0.00125812,0.00124988,0.00132773,0.00115645,0.00116548,0.00114776,0.0012001,0.00119161,0.00120833,0.00114085,0.0011164,0.00116478,0.00120976,0.00119855,0.00122101,0.00142244,0.00140878,0.00143186
sub-FREAD008,0.00103478,0.00102991,0.00103968,0.00109907,0.00109941,0.00109876,0.000908465,0.00130632,0.00129951,0.00116601,0.00114725,0.00118607,0.00087972,0.00075324,0.00100717,0.00108357,0.00107463,0.00109222,0.000957138,0.000950042,0.000964738,0.000878035,0.000892494,0.000863626,0.000860311,0.000907846,0.000851928,0.000883293,0.00124882,0.00115065,0.00115747,0.00114418,0.00101708,0.000958719,0.00106571,0.00112799,0.00110206,0.00115109,0.00117094,0.00116919,0.00117267,0.00121524,0.00119062,0.00123911,0.00117864,0.00120072,0.00115783,0.00133038,0.00111556,0.0011125,0.0011185,0.00109026,0.00110646,0.00107456,0.0010285,0.0010181,0.00103868,0.00118677,0.0011303,0.00124332,0.00143778,0.00135141,0.00149731
sub-FREAD009,0.00109053,0.00108261,0.00109849,0.00119417,0.00119992,0.00118894,0.000970323,0.00139095,0.00141189,0.00119872,0.00124972,0.00114417,0.000891985,0.000997557,0.000785605,0.00111304,0.00112432,0.00110216,0.000962076,0.0009616,0.000962586,0.00108093,0.00109255,0.00106935,0.00095614,0.00105259,0.00103438,0.00104459,0.00144448,0.00121036,0.00122157,0.00119973,0.00120498,0.00118292,0.00122336,0.00115929,0.00119501,0.00112747,0.00122874,0.00122442,0.00123301,0.00126435,0.00126357,0.00126511,0.00120491,0.00123953,0.00117227,0.00141479,0.00111448,0.00113722,0.00109261,0.00117278,0.00122879,0.00111848,0.00106817,0.0010305,0.00110508,0.00116473,0.00112288,0.0012067,0.00130244,0.00141363,0.00122581
sub-FREAD010,0.00115335,0.00118407,0.00112246,0.000998805,0.000968535,0.00102632,0.000940203,0.00126725,0.00130154,0.00112097,0.00113878,0.00110192,0.000489309,0.00040314,0.000576138,0.00114881,0.00117114,0.00112725,0.000859593,0.000894756,0.000821934,0.000994701,0.000988134,0.00100124,0.000654784,0.000908342,0.000766775,0.000846181,0.0013993,0.00111571,0.00110832,0.00112273,0.00110117,0.00109926,0.00110277,0.00120186,0.00120585,0.00119831,0.00115449,0.00114908,0.00115984,0.00115768,0.00111619,0.00119789,0.00118771,0.00119719,0.00117878,0.00127103,0.00111625,0.00113898,0.00109439,0.00103896,0.00104087,0.00103711,0.00108439,0.00106787,0.00110056,0.00117859,0.00115884,0.0011984,0.00138215,0.00146826,0.0013228
sub-FREHC001,0.00102931,0.0010275,0.00103114,0.00102764,0.00102073,0.00103392,0.000957293,0.0013672,0.00133884,0.00118868,0.00122304,0.00115193,0.000731856,0.000753065,0.000710485,0.00103984,0.00103875,0.0010409,0.000968915,0.000965314,0.000972771,0.000993046,0.00098059,0.00100545,0.00106985,0.000999092,0.000950776,0.000977877,0.00133858,0.0010953,0.00109608,0.00109456,0.00108562,0.00112662,0.00105145,0.0011049,0.00109983,0.00110941,0.00115139,0.00114799,0.00115475,0.00116564,0.00118889,0.00114311,0.00109705,0.00110758,0.00108713,0.00130012,0.00101805,0.00102135,0.00101488,0.00106033,0.00105763,0.00106295,0.00102654,0.00100211,0.00105045,0.00111166,0.00108192,0.00114149,0.00129649,0.00130536,0.00129038
sub-FREHC002,0.00108973,0.00109934,0.00108007,0.00107617,0.00106728,0.00108425,0.00094445,0.00126453,0.00121136,0.00112666,0.00112499,0.00112844,0.000896595,0.000904464,0.000888665,0.00108612,0.00109279,0.00107969,0.00093941,0.000942031,0.000936604,0.00100951,0.00100883,0.00101019,0.000751204,0.000966915,0.000937798,0.00095413,0.00122168,0.0011485,0.0011568,0.00114062,0.00107542,0.00106887,0.00108087,0.00109036,0.0010788,0.00110066,0.00121226,0.00120906,0.00121542,0.00119316,0.0011606,0.00122472,0.00114586,0.0011819,0.00111188,0.00113017,0.00107987,0.00109219,0.00106801,0.00103546,0.00101684,0.0010535,0.00106186,0.00106655,0.00105727,0.0011146,0.00110813,0.00112108,0.00122768,0.00107182,0.00133509
sub-FREHC003,0.00103056,0.00101753,0.00104367,0.00107431,0.00107238,0.00107607,0.00092073,0.00124271,0.00123472,0.00112039,0.00117153,0.00106568,0.000839349,0.000777185,0.000901989,0.00104679,0.00103934,0.00105398,0.000868411,0.00084597,0.000892445,0.000998861,0.00101047,0.0009873,0.00101498,0.00102224,0.000959988,0.000994905,0.00126085,0.00110187,0.0011031,0.00110069,0.00116736,0.00117879,0.00115783,0.00110449,0.00110571,0.00110341,0.00111753,0.00110606,0.00112888,0.00115322,0.00114301,0.00116312,0.00111109,0.00112993,0.00109333,0.00120302,0.00103521,0.00103147,0.0010388,0.00106946,0.00107202,0.00106697,0.00102876,0.00101115,0.00104599,0.00108008,0.0010727,0.00108748,0.00122398,0.00117422,0.00125828
sub-FREHC004,0.00103601,0.0010234,0.0010487,0.00112845,0.00111794,0.00113801,0.000979484,0.00126259,0.00126264,0.00114751,0.00117771,0.0011152,0.000809534,0.000701886,0.000918006,0.00106742,0.00107199,0.00106301,0.000901797,0.000899756,0.000903983,0.00100268,0.00101881,0.000986624,0.000867646,0.000995584,0.000938257,0.000970412,0.00122711,0.00116108,0.00117207,0.00115065,0.00107305,0.00107231,0.00107366,0.00111846,0.00114164,0.00109782,0.00121084,0.00120832,0.00121334,0.00127461,0.00129737,0.00125254,0.00113496,0.00118159,0.001091,0.00129092,0.00107639,0.00109334,0.00106009,0.00105063,0.00104679,0.00105436,0.00102915,0.00102581,0.00103243,0.00110399,0.00108225,0.0011258,0.00133058,0.00135457,0.00131404
sub-FREHC005,0.000941424,0.000938953,0.000943909,0.00101111,0.000977725,0.00104145,0.000855362,0.00114837,0.00114086,0.00105071,0.00107204,0.0010279,0.000687265,0.000803687,0.00056995,0.000965083,0.000963144,0.000966956,0.000796785,0.000790975,0.000803008,0.000885389,0.00087255,0.000898174,0.000867098,0.000873553,0.000857349,0.000866438,0.00114412,0.00104302,0.00102877,0.00105653,0.000989128,0.0010301,0.000954984,0.00101126,0.00101689,0.00100624,0.00109107,0.00108704,0.00109505,0.00106879,0.00107635,0.00106147,0.00101821,0.00100846,0.00102741,0.00112797,0.000967846,0.000964296,0.000971261,0.000949493,0.000968125,0.000931432,0.000946845,0.000940677,0.000952885,0.000959826,0.000979523,0.000940007,0.00116547,0.00122747,0.00112274
