subjectID,ACR,ACR-L,ACR-R,ALIC,ALIC-L,ALIC-R,AverageFA,BCC,CC,CGC,CGC-L,CGC-R,CGH,CGH-L,CGH-R,CR,CR-L,CR-R,CST,CST-L,CST-R,EC,EC-L,EC-R,FX,FX/ST-L,FX/ST-R,FXST,GCC,IC,IC-L,IC-R,IFO,IFO-L,IFO-R,PCR,PCR-L,PCR-R,PLIC,PLIC-L,PLIC-R,PTR,PTR-L,PTR-R,RLIC,RLIC-L,RLIC-R,SCC,SCR,SCR-L,SCR-R,SFO,SFO-L,SFO-R,SLF,SLF-L,SLF-R,SS,SS-L,SS-R,UNC,UNC-L,UNC-R
sub-FREAD001,0.463026,0.452155,0.47349,0.614584,0.625424,0.603898,0.484548,0.699321,0.693817,0.596662,0.623635,0.567736,0.455939,0.447105,0.464495,0.500869,0.493171,0.508302,0.584083,0.585819,0.582106,0.465173,0.469477,0.460943,0.383704,0.544727,0.544879,0.544797,0.616671,0.64261,0.653939,0.631184,0.559689,0.582107,0.543677,0.547038,0.53512,0.556439,0.705559,0.715472,0.695753,0.590201,0.571235,0.607572,0.603101,0.617647,0.587742,0.754722,0.529563,0.528031,0.531186,0.591254,0.580943,0.600277,0.521421,0.529837,0.512552,0.511813,0.51849,0.504693,0.544632,0.53713,0.548611
sub-FREAD002,0.486461,0.485279,0.487598,0.612885,0.632075,0.593967,0.485054,0.682144,0.687773,0.677267,0.71945,0.632032,0.506821,0.501442,0.512031,0.545676,0.545884,0.545475,0.568096,0.595945,0.536394,0.500678,0.511201,0.490336,0.274276,0.534599,0.527302,0.531245,0.623466,0.646029,0.653065,0.638933,0.599492,0.642588,0.56871,0.59255,0.594128,0.591305,0.719388,0.721249,0.717547,0.583347,0.571738,0.59398,0.600503,0.601909,0.599019,0.755488,0.601837,0.602619,0.601007,0.64064,0.64067,0.640614,0.53273,0.521592,0.544468,0.530729,0.526701,0.535024,0.533749,0.547374,0.526524
sub-FREAD003,0.44727,0.438309,0.455896,0.619554,0.617845,0.621239,0.475831,0.68004,0.675972,0.603899,0.643893,0.561011,0.47875,0.489107,0.468718,0.497446,0.495699,0.499132,0.613124,0.642133,0.580101,0.455828,0.462983,0.448797,0.486631,0.522299,0.508068,0.515757,0.614319,0.654722,0.656219,0.653212,0.480585,0.435149,0.513039,0.541401,0.534744,0.546653,0.713289,0.712658,0.713913,0.566875,0.546517,0.585522,0.627664,0.635533,0.619356,0.725192,0.543152,0.551952,0.533825,0.598201,0.597087,0.599175,0.514382,0.519095,0.509415,0.529264,0.525582,0.53319,0.554096,0.529481,0.567149
sub-FREAD004,0.470402,0.499213,0.442668,0.605054,0.606141,0.603983,0.498474,0.689167,0.696522,0.622101,0.622432,0.621747,0.53668,0.531515,0.541682,0.50084,0.51366,0.488461,0.527496,0.531365,0.523091,0.466382,0.471478,0.461374,0.595394,0.488825,0.473506,0.481783,0.668679,0.617937,0.62388,0.611943,0.589082,0.577193,0.597574,0.571342,0.58252,0.562524,0.665322,0.673925,0.656812,0.557795,0.566738,0.549604,0.579431,0.58874,0.569603,0.733995,0.509104,0.505361,0.513072,0.616336,0.638572,0.59688,0.504721,0.512812,0.496194,0.492358,0.473929,0.512007,0.704633,0.705888,0.703968
sub-FREAD005,0.472834,0.462284,0.482989,0.621915,0.617598,0.626171,0.480462,0.722694,0.717242,0.677509,0.707176,0.645694,0.464801,0.440592,0.488249,0.480251,0.472127,0.488095,0.478744,0.446241,0.515744,0.47635,0.473759,0.478896,0.497011,0.567235,0.524206,0.547455,0.670458,0.627053,0.629932,0.62415,0.5795,0.599903,0.564926,0.50203,0.497789,0.505376,0.664474,0.66697,0.662004,0.569423,0.571109,0.567878,0.591272,0.603105,0.578779,0.75067,0.480223,0.474558,0.486227,0.626823,0.59172,0.657538,0.503225,0.49878,0.507909,0.562729,0.557998,0.567774,0.51252,0.53734,0.499358
sub-FREAD006,0.433936,0.443311,0.424912,0.618526,0.607762,0.629137,0.476909,0.642874,0.65423,0.602326,0.620548,0.582785,0.550461,0.59184,0.510381,0.460808,0.465839,0.455951,0.574692,0.56711,0.583323,0.483016,0.491534,0.474645,0.704093,0.592124,0.603554,0.597378,0.619542,0.617163,0.620316,0.613984,0.553719,0.548046,0.557772,0.500392,0.492819,0.506366,0.657722,0.664973,0.650548,0.527187,0.522305,0.531658,0.570985,0.585581,0.555574,0.704555,0.478165,0.483486,0.472524,0.659056,0.671809,0.647898,0.496592,0.499677,0.49334,0.541937,0.532073,0.552454,0.513834,0.421494,0.562802
sub-FREAD007,0.383702,0.389518,0.378104,0.569361,0.568681,0.570031,0.431819,0.589294,0.600033,0.486677,0.496833,0.475787,0.431651,0.434827,0.428574,0.426477,0.438256,0.415103,0.493454,0.540156,0.44029,0.416206,0.428701,0.403925,0.581451,0.51057,0.505179,0.508092,0.561883,0.575669,0.574899,0.576445,0.487545,0.50589,0.474442,0.486982,0.49118,0.48367,0.627338,0.622715,0.631911,0.489212,0.489943,0.488543,0.525423,0.530256,0.520321,0.652475,0.455215,0.478508,0.430526,0.565091,0.5442,0.58337,0.441199,0.437236,0.445376,0.456192,0.457408,0.454896,0.516646,0.529355,0.509906
sub-FREAD008,0.457757,0.446638,0.468461,0.647604,0.647513,0.647694,0.501531,0.709025,0.708528,0.629295,0.644786,0.612683,0.553522,0.578618,0.529215,0.477979,0.473904,0.481915,0.549302,0.575849,0.519081,0.519932,0.511131,0.528582,0.540356,0.563061,0.533651,0.549541,0.661854,0.625983,0.622208,0.62979,0.538658,0.528958,0.545587,0.504276,0.506244,0.502724,0.65164,0.65424,0.649067,0.527639,0.530052,0.525429,0.57462,0.561907,0.588042,0.750073,0.492591,0.495383,0.489631,0.654941,0.643647,0.664824,0.520697,0.515261,0.526426,0.515201,0.510515,0.520198,0.52182,0.526424,0.519378
sub-FREAD009,0.445406,0.435354,0.455082,0.588906,0.568443,0.609079,0.477631,0.682407,0.676544,0.569911,0.575713,0.563689,0.438506,0.43618,0.440759,0.477268,0.472678,0.4817,0.547402,0.527476,0.570084,0.436584,0.423252,0.449686,0.56166,0.50979,0.527339,0.517857,0.615635,0.599787,0.589769,0.609891,0.55603,0.557749,0.554802,0.529394,0.532247,0.527144,0.64611,0.637559,0.654569,0.595147,0.578398,0.610487,0.560315,0.560735,0.559872,0.722111,0.495542,0.496258,0.494782,0.61409,0.589366,0.635723,0.497058,0.478123,0.517013,0.54221,0.526311,0.559162,0.622506,0.563571,0.65376
sub-FREAD010,0.433294,0.454124,0.413243,0.597693,0.582702,0.61247,0.495438,0.689932,0.680352,0.575465,0.590725,0.559101,0.598062,0.656157,0.541792,0.46534,0.480429,0.450771,0.511817,0.509925,0.513971,0.46362,0.46591,0.461369,0.572747,0.496276,0.535811,0.51445,0.627814,0.624474,0.621346,0.62763,0.50703,0.534474,0.487427,0.496522,0.502332,0.491938,0.67048,0.676153,0.664868,0.554898,0.56875,0.542211,0.602321,0.602682,0.601939,0.712157,0.493152,0.504688,0.480924,0.628031,0.627885,0.628159,0.516344,0.505105,0.528188,0.52068,0.523831,0.51732,0.553405,0.520908,0.570638
