subjectID,ACR,ACR-L,ACR-R,ALIC,ALIC-L,ALIC-R,AverageFA,BCC,CC,CGC,CGC-L,CGC-R,CGH,CGH-L,CGH-R,CR,CR-L,CR-R,CST,CST-L,CST-R,EC,EC-L,EC-R,FX,FX/ST-L,FX/ST-R,FXST,GCC,IC,IC-L,IC-R,IFO,IFO-L,IFO-R,PCR,PCR-L,PCR-R,PLIC,PLIC-L,PLIC-R,PTR,PTR-L,PTR-R,RLIC,RLIC-L,RLIC-R,SCC,SCR,SCR-L,SCR-R,SFO,SFO-L,SFO-R,SLF,SLF-L,SLF-R,SS,SS-L,SS-R,UNC,UNC-L,UNC-R
sub-FREAD001,0.000764885,0.000757094,0.00077272,0.000670369,0.000655074,0.000684272,0.000723782,0.00073513,0.000753641,0.000686606,0.000677073,0.000696804,0.000744316,0.000755574,0.000732972,0.000739654,0.000735179,0.000743975,0.000658529,0.00065918,0.000657832,0.000719692,0.000719696,0.000719689,0.0013093,0.000685606,0.000697256,0.000690721,0.00084324,0.000674252,0.000666783,0.00068134,0.000742313,0.000743439,0.000741374,0.000767812,0.00076345,0.000771697,0.000656568,0.000652974,0.000660126,0.000758675,0.000768544,0.00074911,0.000699153,0.000695175,0.000702903,0.000707952,0.00069667,0.000695882,0.000697428,0.00067639,0.000668934,0.000683617,0.000703033,0.000701205,0.000704823,0.000777838,0.000764978,0.000790738,0.00105234,0.0011192,0.00100626
sub-FREAD002,0.000741376,0.000741463,0.000741289,0.000653677,0.0006493,0.000657655,0.000729259,0.000754434,0.000739798,0.000675091,0.000677185,0.000672852,0.00070834,0.000706353,0.000710343,0.000718026,0.00071453,0.000721401,0.000635861,0.000625572,0.000646881,0.000708187,0.000703523,0.000712832,0.0016338,0.000682988,0.000671475,0.000677933,0.000760683,0.000663389,0.000658666,0.000667872,0.000722499,0.000700788,0.000740591,0.00072771,0.000713401,0.000740456,0.000630971,0.000626667,0.000635232,0.000771347,0.000756434,0.000785802,0.000711657,0.000706861,0.000716179,0.000703127,0.000686715,0.000684066,0.000689263,0.00066535,0.000665618,0.00066509,0.000693182,0.000695261,0.000691146,0.000761294,0.000753503,0.000769109,0.000860016,0.000853829,0.00086428
sub-FREAD003,0.000737016,0.000747168,0.000726806,0.000655446,0.00066218,0.000649324,0.000744382,0.000731671,0.000757082,0.000722277,0.000718786,0.000726012,0.000740515,0.000735897,0.000745169,0.000715856,0.000721291,0.000710608,0.000668422,0.000640814,0.00069799,0.000703983,0.000702592,0.000705369,0.00122716,0.000717932,0.000716282,0.000717207,0.000793588,0.00067913,0.000682648,0.000675791,0.000703415,0.000739142,0.000673642,0.000760764,0.000761026,0.000760531,0.000653872,0.000656364,0.000651405,0.0008247,0.000849617,0.000800548,0.000733004,0.000734887,0.000731228,0.000763,0.000668794,0.00067173,0.000665969,0.000653007,0.000659528,0.000646686,0.000709216,0.000716985,0.00070161,0.000789221,0.000787766,0.00079068,0.000918238,0.000924829,0.000913696
sub-FREAD004,0.000703045,0.000680491,0.0007257,0.000577486,0.000560549,0.000592901,0.000608886,0.000660179,0.000642771,0.000659703,0.000664196,0.000654929,0.000379695,0.000388979,0.000370193,0.000692514,0.00068306,0.000701646,0.000585118,0.000619088,0.000548738,0.000661244,0.000649007,0.000673422,0.000410958,0.000632221,0.000588747,0.000613132,0.000656358,0.000628074,0.000618053,0.000637584,0.000684919,0.000699273,0.000672958,0.000707961,0.000710463,0.000705732,0.000628918,0.000626603,0.00063121,0.000690628,0.00066555,0.000714861,0.000678134,0.000664667,0.000690813,0.000608148,0.000672643,0.000672386,0.00067289,0.000658636,0.00065827,0.000658991,0.000664881,0.000663778,0.000665961,0.000702958,0.000711109,0.00069482,0.000583903,0.000607585,0.000567582
sub-FREAD005,0.000739508,0.000737207,0.000741822,0.000674475,0.000689226,0.000661066,0.00071438,0.00072586,0.000706187,0.000675166,0.000674722,0.000675642,0.000707307,0.000698404,0.000716279,0.000716402,0.000708985,0.000723559,0.000767427,0.000800313,0.000732208,0.000710263,0.000716924,0.00070363,0.00102403,0.00066717,0.000695318,0.00067953,0.000688449,0.000666547,0.000672663,0.000660743,0.000723431,0.000747841,0.000703089,0.00075618,0.000704911,0.000801647,0.000643472,0.000644121,0.00064283,0.000851698,0.000826897,0.000875736,0.000685924,0.000690974,0.000681162,0.000693253,0.000669844,0.00067849,0.000661528,0.000657082,0.000681448,0.000633462,0.000692023,0.00069467,0.000689432,0.000729344,0.00073818,0.00072048,0.00102337,0.000817711,0.0011651
sub-FREAD006,0.000709423,0.000723016,0.000695752,0.000552029,0.000569966,0.000535724,0.00059931,0.00067568,0.000667368,0.000633484,0.000630912,0.000636235,0.000425647,0.000381132,0.000470503,0.000690622,0.000699175,0.000682363,0.000549586,0.000550699,0.000548395,0.000560294,0.000589331,0.000531337,0.000435719,0.000544213,0.000386981,0.000475299,0.000700243,0.000588679,0.000608001,0.000570334,0.000617194,0.000642297,0.000596275,0.000706184,0.000704793,0.000707423,0.000599379,0.000610977,0.000587899,0.000729191,0.000731329,0.000727118,0.000612993,0.00064205,0.00058556,0.000629853,0.000661397,0.000668919,0.000654161,0.000655065,0.000667779,0.000642741,0.000623954,0.000628515,0.000619488,0.000605786,0.000644871,0.000566579,0.000881722,0.00093522,0.000844852
sub-FREAD007,0.000811518,0.000809816,0.00081323,0.000682038,0.000678502,0.000685253,0.000723156,0.000767417,0.000753987,0.000726688,0.000724562,0.000728963,0.000595997,0.000582241,0.000609859,0.000788941,0.000781735,0.0007959,0.000591101,0.000549599,0.000635548,0.000771164,0.000760379,0.000781905,0.000705797,0.000702808,0.000679426,0.000692541,0.000787408,0.000709121,0.000706019,0.000712065,0.000755041,0.00075283,0.000756884,0.000806148,0.000784064,0.000825821,0.000688973,0.000684697,0.000693206,0.000818909,0.000794337,0.000842727,0.000760364,0.000759204,0.000761457,0.00070904,0.000754611,0.000748229,0.000760749,0.000745191,0.000749896,0.00074063,0.000759733,0.000747359,0.000771848,0.000780898,0.000771188,0.000790637,0.000869213,0.000847216,0.000884373
sub-FREAD008,0.000694792,0.000703666,0.000685873,0.000594464,0.000593424,0.00059541,0.000591781,0.000660884,0.000655434,0.000649334,0.000637401,0.000662147,0.000529776,0.00044669,0.000613498,0.000700115,0.000698173,0.00070199,0.000578712,0.000563152,0.000595377,0.000551984,0.000559739,0.000544185,0.000572107,0.00055039,0.000532488,0.000542518,0.000660435,0.000631171,0.000636946,0.000625689,0.000621311,0.000597334,0.000641292,0.000717868,0.000695528,0.000737768,0.000622936,0.00062129,0.000624566,0.000729069,0.00071014,0.000747416,0.00067799,0.000699091,0.000658095,0.000643973,0.000696925,0.000693163,0.000700544,0.000662657,0.000677793,0.000647985,0.000636141,0.000633121,0.00063909,0.000723243,0.000691037,0.000755549,0.000883051,0.000821112,0.000925738
sub-FREAD009,0.000733708,0.000731699,0.000735729,0.0006814,0.000695976,0.00066817,0.000645129,0.000720041,0.00073165,0.000713587,0.000726243,0.000700048,0.000593522,0.000669872,0.000519219,0.000723168,0.000728535,0.000717985,0.000587407,0.000586448,0.000588435,0.000723704,0.000739256,0.000708217,0.000608363,0.000675066,0.000636583,0.000658168,0.000788356,0.000680695,0.000692123,0.000669854,0.000728747,0.000724543,0.00073225,0.000736916,0.000741949,0.000732433,0.000659391,0.000663545,0.000655278,0.000729913,0.000744728,0.000715554,0.000705262,0.000723072,0.000688469,0.000702613,0.000704185,0.000718223,0.000690682,0.000732516,0.000778613,0.00068783,0.000673996,0.000665977,0.000681856,0.000704567,0.000691566,0.000717609,0.000772534,0.000825095,0.000736309
sub-FREAD010,0.000794272,0.000806003,0.00078248,0.000558721,0.000550771,0.000565947,0.000612576,0.000666115,0.000683068,0.000666192,0.000671607,0.0006604,0.000296486,0.000223476,0.000370055,0.000751695,0.000758587,0.000745046,0.000540659,0.00055658,0.000523608,0.000645926,0.000640022,0.000651805,0.000472363,0.000587435,0.000477495,0.000539249,0.000766588,0.00060922,0.00060574,0.00061252,0.000686082,0.000670944,0.000698697,0.00076658,0.000757492,0.000774664,0.00060248,0.000594783,0.0006101,0.000696694,0.000671278,0.000721279,0.000668267,0.000673693,0.000663165,0.00064005,0.000696041,0.000704502,0.000687908,0.000610515,0.00061641,0.000604801,0.000671062,0.000670496,0.000671616,0.000718739,0.000707138,0.000730377,0.000829768,0.000901027,0.000780657
