subjectID,ACR,ACR-L,ACR-R,ALIC,ALIC-L,ALIC-R,AverageFA,BCC,CC,CGC,CGC-L,CGC-R,CGH,CGH-L,CGH-R,CR,CR-L,CR-R,CST,CST-L,CST-R,EC,EC-L,EC-R,FX,FX/ST-L,FX/ST-R,FXST,GCC,IC,IC-L,IC-R,IFO,IFO-L,IFO-R,PCR,PCR-L,PCR-R,PLIC,PLIC-L,PLIC-R,PTR,PTR-L,PTR-R,RLIC,RLIC-L,RLIC-R,SCC,SCR,SCR-L,SCR-R,SFO,SFO-L,SFO-R,SLF,SLF-L,SLF-R,SS,SS-L,SS-R,UNC,UNC-L,UNC-R
sub-FREAD001,0.000575439,0.000576341,0.000574532,0.00039696,0.000382796,0.000409835,0.000544547,0.000377293,0.000390946,0.000440074,0.000419638,0.000461934,0.000543279,0.000559073,0.000527364,0.000526633,0.000527627,0.000525673,0.000432956,0.000435012,0.000430755,0.000528795,0.000524851,0.000532723,0.00110253,0.000469123,0.000476341,0.000472292,0.000497779,0.000382677,0.000370419,0.000394312,0.000498458,0.000486664,0.000508286,0.000530027,0.000527534,0.000532247,0.000333226,0.000324544,0.00034182,0.000479801,0.000491881,0.000468093,0.000426935,0.000413956,0.000439173,0.00032491,0.000469905,0.000471555,0.000468318,0.000441661,0.000441507,0.000441811,0.000486007,0.000483314,0.000488643,0.000538083,0.000519892,0.00055633,0.000693727,0.000746227,0.000657544
sub-FREAD002,0.000527618,0.000527782,0.000527453,0.000392807,0.000379708,0.000404714,0.000547098,0.000398644,0.000384194,0.000412044,0.00039899,0.000426008,0.000485299,0.000487371,0.000483211,0.000475698,0.000472977,0.000478326,0.000423606,0.000406506,0.00044192,0.000500898,0.000490955,0.0005108,0.00151476,0.000476116,0.000473158,0.000474817,0.000445972,0.000375678,0.000367997,0.000382967,0.000458288,0.000428076,0.000483465,0.000470514,0.0004562,0.000483264,0.000311875,0.000308916,0.000314805,0.000491667,0.000485681,0.00049747,0.00043409,0.000428257,0.000439589,0.000315327,0.0004199,0.000418183,0.000421552,0.000402091,0.000402565,0.000401632,0.000473525,0.000481274,0.000465939,0.000516282,0.000514281,0.00051829,0.000577602,0.000556517,0.000592134
sub-FREAD003,0.000557731,0.000573777,0.000541593,0.000391837,0.000395687,0.000388338,0.000560927,0.000388635,0.000402203,0.000466531,0.000450094,0.000484113,0.000523053,0.000517759,0.000528387,0.000507845,0.000514822,0.000501108,0.000426946,0.000389506,0.000467044,0.00052082,0.000516836,0.000524787,0.000955885,0.000498365,0.000506235,0.000501821,0.000463146,0.00037835,0.000378334,0.000378365,0.000526397,0.000574206,0.000486557,0.000527099,0.000532716,0.000522096,0.000326432,0.000328765,0.000324122,0.000539154,0.000563541,0.000515516,0.000426338,0.000421438,0.000430958,0.000372467,0.000441697,0.000438013,0.00044524,0.000437419,0.000437531,0.00043731,0.000493813,0.000498686,0.000489041,0.000528958,0.000531139,0.00052677,0.000600456,0.000621724,0.000585799
sub-FREAD004,0.000530943,0.000506522,0.000555443,0.00035178,0.000340887,0.00036172,0.000448584,0.000355104,0.000337068,0.000408861,0.00041678,0.000400473,0.000290217,0.000291411,0.000288906,0.000496883,0.0004881,0.000505348,0.000417945,0.000435168,0.000399441,0.000480829,0.000467855,0.000493687,0.000326445,0.000452296,0.000428919,0.000442017,0.000356514,0.000373601,0.000363658,0.000383019,0.000431579,0.000446266,0.000419339,0.000489862,0.000493342,0.000486788,0.000344382,0.000336981,0.000351709,0.00045202,0.000434987,0.000468356,0.000430515,0.000419192,0.000441088,0.000296188,0.000462141,0.00046435,0.000460013,0.000443222,0.000434982,0.000451209,0.000462248,0.000460229,0.000464226,0.000495281,0.00051268,0.000477962,0.000305259,0.000315474,0.000298122
sub-FREAD005,0.000552404,0.000556585,0.000548198,0.000402445,0.000419081,0.000387323,0.000537807,0.000352245,0.000343818,0.000401539,0.00037086,0.000434356,0.000514769,0.000522008,0.000507474,0.000526556,0.000522982,0.000530004,0.000560659,0.000596186,0.00052261,0.000516028,0.000519182,0.000512887,0.000726283,0.000440536,0.000486442,0.000460693,0.000365354,0.000394457,0.000397481,0.000391587,0.000468656,0.00047559,0.000462878,0.00055326,0.000510459,0.000591162,0.000358562,0.000358571,0.000358553,0.000559856,0.000538352,0.0005807,0.000428984,0.000423414,0.000434235,0.000315143,0.000483668,0.00049046,0.000477135,0.000436974,0.000460417,0.000414248,0.000489393,0.000493729,0.000485147,0.000476263,0.000483866,0.000468637,0.000727599,0.000544131,0.000854043
sub-FREAD006,0.00054596,0.000555873,0.00053599,0.00032843,0.000341509,0.000316511,0.000451287,0.000400158,0.000384662,0.000418045,0.000407472,0.000429355,0.000299792,0.00026952,0.000329137,0.000508009,0.000513451,0.000502754,0.000367023,0.000365324,0.000368848,0.000412002,0.00042422,0.000399734,0.000333309,0.000355244,0.000264391,0.000316232,0.000423269,0.00035113,0.000357268,0.000345277,0.000416051,0.000439056,0.00039688,0.00050379,0.000504196,0.000503428,0.000333254,0.000334032,0.000332478,0.000501229,0.000508515,0.000494166,0.00039527,0.000401135,0.000389711,0.000332405,0.000467446,0.000469182,0.000465776,0.000423365,0.000422441,0.000424261,0.000449114,0.000448349,0.000449863,0.00041797,0.000445844,0.000389967,0.000638615,0.000694049,0.00060041
sub-FREAD007,0.000657296,0.000652955,0.000661662,0.000435506,0.000433729,0.000437121,0.000560533,0.000485158,0.000462955,0.000535473,0.000536747,0.00053411,0.000448547,0.000434512,0.00046291,0.000604614,0.000594739,0.00061415,0.000432201,0.000391979,0.000475018,0.000591709,0.000573601,0.000609743,0.000588562,0.000490896,0.000489146,0.000490128,0.000504303,0.000448209,0.000446159,0.000450155,0.000537106,0.000525281,0.000546961,0.000588342,0.000570741,0.00060402,0.000403898,0.000404001,0.000403796,0.000577956,0.000556286,0.000598961,0.000513605,0.000509743,0.000517247,0.000399693,0.000553692,0.000539603,0.000567244,0.000517737,0.000529041,0.00050678,0.000569176,0.000562839,0.00057538,0.000566467,0.000557509,0.000575452,0.000592598,0.000566431,0.000610632
sub-FREAD008,0.000524978,0.000540233,0.000509625,0.000343999,0.000342674,0.000345202,0.000435057,0.000340134,0.000336019,0.00038898,0.000382088,0.000396356,0.000373295,0.000325939,0.00041666,0.000508453,0.000509805,0.000507148,0.000389499,0.000369707,0.000410696,0.000389649,0.000393984,0.00038525,0.000454363,0.000371596,0.000372768,0.000372112,0.000366241,0.00037232,0.000377817,0.000367109,0.000423427,0.000416642,0.000429081,0.000512807,0.000492262,0.000531109,0.000349403,0.000348276,0.000350517,0.000486521,0.000470965,0.000501569,0.000427971,0.000448275,0.000408803,0.000305934,0.000487606,0.000483494,0.000491562,0.000448856,0.00046346,0.0004347,0.000439642,0.000439513,0.000439768,0.000493062,0.000476088,0.000509905,0.000605683,0.000555964,0.000639949
sub-FREAD009,0.000555666,0.000556621,0.000554706,0.000424659,0.000443248,0.000407785,0.000483213,0.00038499,0.00039188,0.00047102,0.000464505,0.000477988,0.000446176,0.000501927,0.00039216,0.000528379,0.0005308,0.00052604,0.000400073,0.000398872,0.000401359,0.000546097,0.000562258,0.000529936,0.00044355,0.000486302,0.000437685,0.000464955,0.000460828,0.000415835,0.000427166,0.000405081,0.000490631,0.000495354,0.000486696,0.00052573,0.000515417,0.000534916,0.000374718,0.000383108,0.000366412,0.000462696,0.000485309,0.000440778,0.000455746,0.000464846,0.000447154,0.000346683,0.000499033,0.000508721,0.000489715,0.000512385,0.000553524,0.000472506,0.000477919,0.000486072,0.000469965,0.000475629,0.000478199,0.000473064,0.000507579,0.000530826,0.000491557
sub-FREAD010,0.000614562,0.000616622,0.000612492,0.00033868,0.000341889,0.000335763,0.000450491,0.000366739,0.000375515,0.000438802,0.000438019,0.000439639,0.000206449,0.000139405,0.000272707,0.000553095,0.000552215,0.000553944,0.000381193,0.000387492,0.000374446,0.00047209,0.000465965,0.000478203,0.000393382,0.000428225,0.000339482,0.000389702,0.00045163,0.000355915,0.000354158,0.000357581,0.000478537,0.000456786,0.000496662,0.000549409,0.000534265,0.000562839,0.000326478,0.000317637,0.00033523,0.000469074,0.000452581,0.000484943,0.000408379,0.000410962,0.00040595,0.000326957,0.000485763,0.000486901,0.000484669,0.000396294,0.000404182,0.000388647,0.000464978,0.00047299,0.000457162,0.000491272,0.00048614,0.000496373,0.000553579,0.00061741,0.000509587
